Player,Role,Amount,Team,Age,Year,Nation,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,100s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,5 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear
Shreyas Iyer,Batsman,2.6,Delhi Daredevils,21,2015,Indian,0,0,4387,101,101,13,2776,96,,21,19,0,237,97,0.551152738,125.38,25,0.247524752,1,6,0,0,0,0,7,,2375,31.67,123.96,,,0,,87,8,8,47*,175,35,102.34,15.06,8,0,175,35,102.34,15.06,1994
Siddhesh Dinesh Lad,Batsman,0.2,Mumbai Indians,26,2018,Indian,0,1,4398,1,1,0,15,15,15,0,0,0,1,1,0.666666667,115.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
Sarfaraz Khan,Batsman,0.5,Royal Challengers Bangalore,18,2015,Indian,0,0,4408,50,37,11,585,67,,8,1,0,63,14,0.574358974,130.58,1,0.027027027,0.2,2,0,0,0,0,18,,228,20.73,159.44,,,0,,25,7,6,22*,51,10.2,124.39,4.5,6,0,51,10.2,124.39,4.5,1997
Ricky Bhui,Batsman,0.2,Sunrisers Hyderabad,22,2018,Overseas,1,1,4409,2,2,0,7,7,3.5,0,0,0,0,0,0,41.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
Ricky Bhui,Batsman,0.1,Sunrisers Hyderabad,18,2014,Overseas,1,1,4409,2,2,0,7,7,3.5,0,0,0,0,0,0,41.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
Evin Lewis,Batsman,3.8,Mumbai Indians,27,2018,Overseas,1,1,4538,27,26,2,654,65,27.25,6,4,0,62,36,0.709480122,137.11,5,0.192307692,,,,,,,,,581,27.67,138,,,0,,21,5,5,58,151,30.2,162.37,19.41,5,1,151,30.2,162.37,19.41,1991
Evin Lewis,Batsman,2,Lucknow Super Giants,31,2022,Overseas,1,1,4538,27,26,2,654,65,27.25,6,4,0,62,36,0.709480122,137.11,5,0.192307692,,,,,,,,,581,27.67,138,,,0,,21,5,5,58,151,30.2,162.37,19.41,5,1,151,30.2,162.37,19.41,1991
Rovman Powell,Batsman,2.8,Delhi Capitals,29,2022,Overseas,1,1,4605,17,15,2,257,67,35,4,1,0,11,22,0.684824903,146.02,1,0.066666667,3,18,1,0,0,0,11.67,18,,,,,,,,,,,,,,,,,,,,,,1993
Billy Stanlake,Batsman,0.5,Sunrisers Hyderabad,24,2018,Overseas,1,1,4626,6,1,1,5,5,28.57,0,0,0,1,0,0.8,250,0,0,24,144,7,0,0,0,8.33,20.57,,,,24,8.75,2,35,2,2,0,0,0,,,,8,2,35,24,8.75,18.18,1994
Rinku Singh,Batsman,0.8,Kolkata Knight Riders,21,2018,Indian,0,1,4665,31,29,9,725,67,36.25,7,4,0,54,38,0.612413793,142.16,2,0.068965517,,,,,,,,,77,11,101.32,,,0,,10,1,1,11,11,11,100,6.4,,,,,,,1997
